playerID,award,year,lgID,note,pos
crosbsi01,Pearson,2006,NHL,,
crosbsi01,Richard,2009,NHL,shared,
crosbsi01,Second Team All-Star,2009,NHL,,C
croziro01,Calder,1964,NHL,,
croziro01,Conn Smythe,1965,NHL,,
croziro01,First Team All-Star,1964,NHL,,G
cudewi01,Second Team All-Star,1935,NHL,,G
cudewi01,Second Team All-Star,1936,NHL,,G
cullejo01,Masterton,1998,NHL,,
dafoeby01,Second Team All-Star,1998,NHL,,G
dahlikj01,All-Rookie,1985,NHL,,RW
dahlscu01,Calder,1937,NHL,,
daleyjo01,First Team All-Star,1975,WHA,,G
daleyjo01,Second Team All-Star,1976,WHA,,G
daneyke01,Masterton,1999,NHL,,
daousda01,All-Rookie,1982,NHL,,C
datsypa01,Lady Byng,2005,NHL,,
datsypa01,Lady Byng,2006,NHL,,
datsypa01,Lady Byng,2007,NHL,,
datsypa01,Lady Byng,2008,NHL,,
datsypa01,Plus-Minus,2007,NHL,,
datsypa01,Second Team All-Star,2008,NHL,,C
datsypa01,Selke,2007,NHL,,
datsypa01,Selke,2008,NHL,,
datsypa01,Selke,2009,NHL,,
dazeer01,All-Rookie,1995,NHL,,F
dejorde01,Vezina,1966,NHL,shared,
delveal01,Lady Byng,1958,NHL,,
delveal01,Lady Byng,1965,NHL,,
delveal01,Lady Byng,1968,NHL,,
delveal01,Second Team All-Star,1952,NHL,,C
delveal01,Second Team All-Star,1958,NHL,,LW
delzomi01,All-Rookie,2009,NHL,,D
demitpa01,Lady Byng,1999,NHL,,
dennecy01,Art Ross,1923,NHL,,
desjaer01,Second Team All-Star,1998,NHL,,D
desjaer01,Second Team All-Star,1999,NHL,,D
dilloce01,First Team All-Star,1937,NHL,tie,RW
dilloce01,Second Team All-Star,1935,NHL,,RW
dilloce01,Second Team All-Star,1936,NHL,,RW
dionmi01,Hatskin,1975,WHA,Best Goaltender,
dionngi01,All-Rookie,1991,NHL,,LW
dionnma01,Art Ross,1979,NHL,,
dionnma01,First Team All-Star,1976,NHL,,C
dionnma01,First Team All-Star,1979,NHL,,C
dionnma01,Lady Byng,1974,NHL,,
dionnma01,Lady Byng,1976,NHL,,
dionnma01,Pearson,1978,NHL,,
dionnma01,Pearson,1979,NHL,,
dionnma01,Second Team All-Star,1978,NHL,,C
dionnma01,Second Team All-Star,1980,NHL,,C
doansh01,King Clancy,2009,NHL,,
doansh01,Messier,2011,NHL,,
doreyji01,Second Team All-Star,1972,WHA,,D
doughdr01,All-Rookie,2008,NHL,,D
doughdr01,Second Team All-Star,2009,NHL,,D
douglke01,Calder,1962,NHL,,
drapekr01,Selke,2003,NHL,,
drillgo01,Art Ross,1937,NHL,,
drillgo01,First Team All-Star,1937,NHL,tie,RW
drillgo01,First Team All-Star,1938,NHL,,RW
drillgo01,Lady Byng,1937,NHL,,
drillgo01,Second Team All-Star,1941,NHL,,RW
drurych01,All-Rookie,1998,NHL,,F
drurych01,Calder,1998,NHL,,
drydeda01,First Team All-Star,1978,WHA,,G
drydeda01,Hatskin,1978,WHA,Best Goaltender,
drydeda01,Howe,1978,WHA,MVP,
drydeke01,Calder,1971,NHL,,
drydeke01,Conn Smythe,1970,NHL,,
drydeke01,First Team All-Star,1972,NHL,,G
drydeke01,First Team All-Star,1975,NHL,,G
drydeke01,First Team All-Star,1976,NHL,,G
drydeke01,First Team All-Star,1977,NHL,,G
drydeke01,First Team All-Star,1978,NHL,,G
drydeke01,Second Team All-Star,1971,NHL,,G
drydeke01,Vezina,1972,NHL,,
drydeke01,Vezina,1975,NHL,,
drydeke01,Vezina,1976,NHL,shared,
drydeke01,Vezina,1977,NHL,shared,
drydeke01,Vezina,1978,NHL,shared,
duchema01,All-Rookie,2009,NHL,,F
duchest01,All-Rookie,1986,NHL,,D
dumarwo01,Second Team All-Star,1939,NHL,,LW
dumarwo01,Second Team All-Star,1940,NHL,,LW
dumarwo01,Second Team All-Star,1946,NHL,,LW
duncaia01,All-Rookie,1987,NHL,,LW
dunhami01,Jennings,1996,NHL,shared,
dunlobl01,Masterton,1980,NHL,,
durnabi01,First Team All-Star,1943,NHL,,G
durnabi01,First Team All-Star,1944,NHL,,G
durnabi01,First Team All-Star,1945,NHL,,G
durnabi01,First Team All-Star,1946,NHL,,G
durnabi01,First Team All-Star,1948,NHL,,G
durnabi01,First Team All-Star,1949,NHL,,G
durnabi01,Vezina,1943,NHL,,
durnabi01,Vezina,1944,NHL,,
durnabi01,Vezina,1945,NHL,,
durnabi01,Vezina,1946,NHL,,
durnabi01,Vezina,1948,NHL,,
durnabi01,Vezina,1949,NHL,,
dyeba01,Art Ross,1922,NHL,,
dyeba01,Art Ross,1924,NHL,,
edwardo01,Second Team All-Star,1977,NHL,,G
edwardo01,Second Team All-Star,1979,NHL,,G
edwardo01,Vezina,1979,NHL,shared,
eganpa01,Second Team All-Star,1941,NHL,,D
eliaspa01,All-Rookie,1997,NHL,,F
eliaspa01,First Team All-Star,2000,NHL,,LW
eliaspa01,Plus-Minus,2000,NHL,tie,
elliobr01,Crozier,2011,NHL,,
elliobr01,Jennings,2011,NHL,shared,
ellisda01,Crozier,2007,NHL,,
engblbr01,Second Team All-Star,1981,NHL,,D
enrotjh01,All-Rookie,2011,NHL,,G
enstrto01,All-Rookie,2007,NHL,,D
eriksth01,All-Rookie,1983,NHL,,D
eschero01,Jennings,2002,NHL,shared,
esposph01,Art Ross,1968,NHL,,
esposph01,Art Ross,1970,NHL,,
esposph01,Art Ross,1971,NHL,,
esposph01,Art Ross,1972,NHL,,
esposph01,Art Ross,1973,NHL,,
esposph01,First Team All-Star,1968,NHL,,C
esposph01,First Team All-Star,1969,NHL,,C
esposph01,First Team All-Star,1970,NHL,,C
esposph01,First Team All-Star,1971,NHL,,C
esposph01,First Team All-Star,1972,NHL,,C
esposph01,First Team All-Star,1973,NHL,,C
esposph01,Hart,1968,NHL,,
esposph01,Hart,1973,NHL,,
esposph01,Pearson,1970,NHL,,
esposph01,Pearson,1972,NHL,,
esposph01,Second Team All-Star,1967,NHL,,C
esposph01,Second Team All-Star,1974,NHL,,C
esposto01,Calder,1969,NHL,,
esposto01,First Team All-Star,1969,NHL,,G
esposto01,First Team All-Star,1971,NHL,,G
esposto01,First Team All-Star,1979,NHL,,G
esposto01,Second Team All-Star,1972,NHL,,G
esposto01,Second Team All-Star,1973,NHL,,G
esposto01,Vezina,1969,NHL,,
esposto01,Vezina,1971,NHL,shared,
esposto01,Vezina,1973,NHL,tie,
essenbo01,All-Rookie,1989,NHL,,G
faulkju01,All-Rookie,2011,NHL,,D
fedorse01,All-Rookie,1990,NHL,,C
fedorse01,First Team All-Star,1993,NHL,,C
fedorse01,Hart,1993,NHL,,
fedorse01,Pearson,1993,NHL,,
fedorse01,Selke,1993,NHL,,
fedorse01,Selke,1995,NHL,,
fernama01,Jennings,2006,NHL,shared,
fernama01,Jennings,2008,NHL,shared,
fitzpma01,Masterton,1991,NHL,,
flamafe01,Second Team All-Star,1954,NHL,,D
flamafe01,Second Team All-Star,1956,NHL,,D
flamafe01,Second Team All-Star,1957,NHL,,D
fleurth01,Plus-Minus,1990,NHL,tie,
fleurth01,Second Team All-Star,1994,NHL,,RW
forsbpe01,All-Rookie,1994,NHL,,F
forsbpe01,Art Ross,2002,NHL,,
forsbpe01,Calder,1994,NHL,,
forsbpe01,First Team All-Star,1997,NHL,,C
forsbpe01,First Team All-Star,1998,NHL,,C
forsbpe01,First Team All-Star,2002,NHL,,C
forsbpe01,Hart,2002,NHL,,
forsbpe01,Plus-Minus,2002,NHL,tie,
francro01,King Clancy,2001,NHL,,
francro01,Lady Byng,1994,NHL,,
francro01,Lady Byng,1997,NHL,,
francro01,Lady Byng,2001,NHL,,
francro01,Plus-Minus,1994,NHL,,
francro01,Selke,1994,NHL,,
friesje01,All-Rookie,1994,NHL,,F
froesbo01,Jennings,1985,NHL,shared,
froesbo01,Second Team All-Star,1985,NHL,,G
ftorero01,First Team All-Star,1976,WHA,,C
ftorero01,First Team All-Star,1978,WHA,,C
ftorero01,Howe,1976,WHA,MVP,
ftorero01,Second Team All-Star,1975,WHA,,C
ftorero01,Second Team All-Star,1977,WHA,,C
fuhrgr01,First Team All-Star,1987,NHL,,G
fuhrgr01,Jennings,1993,NHL,shared,
fuhrgr01,Second Team All-Star,1981,NHL,,G
fuhrgr01,Vezina,1987,NHL,,
gaborma01,Second Team All-Star,2011,NHL,,RW
gadsbbi01,First Team All-Star,1955,NHL,,D
gadsbbi01,First Team All-Star,1957,NHL,,D
gadsbbi01,First Team All-Star,1958,NHL,,D
gadsbbi01,Second Team All-Star,1952,NHL,,D
gadsbbi01,Second Team All-Star,1953,NHL,,D
