playerID,award,year
reisele02,Second Team All-Star,1950
renbemi01,All-Rookie,1993
richabr01,All-Rookie,2000
richahe01,First Team All-Star,1957
richahe01,Second Team All-Star,1958
richahe01,Second Team All-Star,1960
richahe01,Second Team All-Star,1962
richama01,First Team All-Star,1944
richama01,First Team All-Star,1945
richama01,First Team All-Star,1946
richama01,First Team All-Star,1947
richama01,First Team All-Star,1948
richama01,First Team All-Star,1949
richama01,First Team All-Star,1954
richama01,First Team All-Star,1955
richama01,Second Team All-Star,1943
richama01,Second Team All-Star,1950
richama01,Second Team All-Star,1951
richama01,Second Team All-Star,1952
richama01,Second Team All-Star,1953
richama01,Second Team All-Star,1956
ridlemi01,All-Rookie,1985
roberre01,Second Team All-Star,1974
robinla01,First Team All-Star,1976
robinla01,First Team All-Star,1978
robinla01,First Team All-Star,1979
robinla01,Second Team All-Star,1977
robinla01,Second Team All-Star,1980
robinla01,Second Team All-Star,1985
robitlu01,All-Rookie,1986
robitlu01,First Team All-Star,1987
robitlu01,First Team All-Star,1988
robitlu01,First Team All-Star,1989
robitlu01,First Team All-Star,1990
robitlu01,First Team All-Star,1992
robitlu01,Second Team All-Star,1986
robitlu01,Second Team All-Star,1991
robitlu01,Second Team All-Star,2000
roussbo01,Second Team All-Star,1965
ryanbo01,All-Rookie,2008
rydermi01,All-Rookie,2003
sakicjo01,First Team All-Star,2000
sakicjo01,First Team All-Star,2001
sakicjo01,First Team All-Star,2003
salmibo01,First Team All-Star,1976
salmibo01,Second Team All-Star,1974
salmibo01,Second Team All-Star,1975
salmibo01,Second Team All-Star,1977
salmibo01,Second Team All-Star,1978
salmibo01,Second Team All-Star,1979
salosa01,All-Rookie,1998
samsose01,All-Rookie,1997
sandfed01,Second Team All-Star,1953
sandlji01,All-Rookie,1986
sandsto01,All-Rookie,1984
savarde01,Second Team All-Star,1982
savarse01,Second Team All-Star,1978
schenlu01,All-Rookie,2008
schmimi01,First Team All-Star,1939
schmimi01,First Team All-Star,1946
schmimi01,First Team All-Star,1950
schmimi01,Second Team All-Star,1951
schoeji01,Second Team All-Star,1979
schrisw01,First Team All-Star,1935
schrisw01,First Team All-Star,1940
schrisw01,Second Team All-Star,1936
sedinda01,First Team All-Star,2010
sedinda01,Second Team All-Star,2009
sedinhe01,First Team All-Star,2009
sedinhe01,First Team All-Star,2010
seibeea01,First Team All-Star,1934
seibeea01,First Team All-Star,1941
seibeea01,First Team All-Star,1942
seibeea01,First Team All-Star,1943
seibeea01,Second Team All-Star,1935
seibeea01,Second Team All-Star,1936
seibeea01,Second Team All-Star,1937
seibeea01,Second Team All-Star,1938
seibeea01,Second Team All-Star,1939
